0,3046 FOREST LN STE B,DALLAS,TX,75234
1,1122 W CENTERVILLE RD,GARLAND,TX,75041
2,6421 RIVERSIDE DR STE 110,IRVING,TX,75039
3,1639 S BUCKNER BLVD,DALLAS,TX,75217
4,5181 KELLER SPRINGS RD STE 103,DALLAS,TX,75248
5,1900 S JOSEY LN,CARROLLTON,TX,75006
6,3310 LAVON DR,GARLAND,TX,75040
7,4601 N STATE HIGHWAY 161,IRVING,TX,75038
8,1600 MARSH LN STE 100,CARROLLTON,TX,75006
9,6906 SNIDER PLZ,DALLAS,TX,75205
10,2615 OAK LAWN AVE STE 110,DALLAS,TX,75219
11,5334 ROSS AVE,DALLAS,TX,75206
12,2233 N PRAIRIE CREEK RD,DALLAS,TX,75227
13,4136 S CARRIER PKWY STE 350,GRAND PRAIRIE,TX,75052
14,757 LAKE CAROLYN PKWY APT 1235,IRVING,TX,75039
15,2645 ARAPAHO ROAD,GARLAND,TX,75044
16,4928 COLUMBIA AVE,DALLAS,TX,75214
17,3901 W NORTHGATE DR,IRVING,TX,75062
18,4653 NALL RD STE F2,FARMERS BRANCH,TX,75244
19,4880 SUNNYVALE ST,DALLAS,TX,75216
20,10909 WEBB CHAPEL RD STE 118,DALLAS,TX,75229
21,222 N STORY RD STE 118,IRVING,TX,75061
22,9410 WALNUT ST STE 102,DALLAS,TX,75243
23,2220 MARSH LN STE 100,CARROLLTON,TX,75006
24,1437 S JUPITER RD,GARLAND,TX,75042
25,1303 W BUCKINGHAM RD STE 101,GARLAND,TX,75040
26,1150 W KIEST BLVD STE 201,DALLAS,TX,75224
27,11206 LAKE JUNE RD STE E,BALCH SPRINGS,TX,75180
28,3925 BROADWAY BLVD,GARLAND,TX,75043
29,10020 MARSH LN,DALLAS,TX,75229
30,1235 S JOSEY LN,CARROLLTON,TX,75006
31,801 W PALESTINE ST # 106,HUTCHINS,TX,75141
32,1055 W PLEASANT RUN RD,LANCASTER,TX,75146
33,6214 SAMUELL BLVD,DALLAS,TX,75228
34,13260 JOSEY LN STE 117,FARMERS BRANCH,TX,75234
35,2314 W ILLINOIS AVE,DALLAS,TX,75224
36,5100 BELT LINE RD STE 610,DALLAS,TX,75254
37,1515 N TOWN EAST BLVD STE 121,MESQUITE,TX,75150
38,3195 GREAT TRINITY FOREST WAY # A1,DALLAS,TX,75216
39,3300 SHEPHERD LN STE A,BALCH SPRINGS,TX,75180
40,4702 E GRAND AVE,DALLAS,TX,75223
41,1405 MARTIN LUTHER KING JR BLVD,DALLAS,TX,75215
42,518 W ARAPAHO RD STE B103,RICHARDSON,TX,75080
43,5250 N OCONNOR BLVD STE 140,IRVING,TX,75039
44,11306 LYNDON B JOHNSON FWY STE 100,DALLAS,TX,75238
45,8151 WALTON BLVD,IRVING,TX,75063
46,712 S WALTON WALKER BLVD STE 1-D,DALLAS,TX,75211
47,1820 W BRUTON RD,BALCH SPRINGS,TX,75180
48,2441 W WALNUT ST STE 225,GARLAND,TX,75042
49,2450 WALNUT HILL LN,DALLAS,TX,75229
50,117 S CARROLL AVE,DALLAS,TX,75226
51,1900 N HALL ST,DALLAS,TX,75204
52,797 N GROVE RD STE 105,RICHARDSON,TX,75081
53,2501 LAKEVIEW PKWY,ROWLETT,TX,75088
54,2611 S LANCASTER RD,DALLAS,TX,75216
55,4413 W WALNUT ST STE 309,GARLAND,TX,75042
56,3150 E LEDBETTER DR,DALLAS,TX,75216
57,460 N LAMAR ST # 300,DALLAS,TX,75202
58,6451 RIVERSIDE DR,IRVING,TX,75039
59,8560 FIRESIDE DR,DALLAS,TX,75217
60,2215 S MARSALIS AVE,DALLAS,TX,75216
61,5460 LEMMON AVE,DALLAS,TX,75209
62,1506 S BUCKNER BLVD,DALLAS,TX,75217
63,1202 E INTERSTATE 30,GARLAND,TX,75043
64,1133 N ZANG BLVD STE 105,DALLAS,TX,75203
65,2601 ARAPAHO RD,GARLAND,TX,75044
66,1308 E BEAR CREEK RD STE 270,GLENN HEIGHTS,TX,75154
67,1551 E SPRING VALLEY RD STE 135,RICHARDSON,TX,75081
68,7124 GREENVILLE AVE,DALLAS,TX,75231
69,1109 E HIGHWAY 67,DUNCANVILLE,TX,75137
70,1803 N GALLOWAY AVE,MESQUITE,TX,75149
71,3724 SAMUELL BLVD,DALLAS,TX,75228
72,4218 W LOVERS LN,DALLAS,TX,75209
73,11520 JUPITER RD,DALLAS,TX,75218
74,940 N RIVERFRONT BLVD,DALLAS,TX,75207
75,501 W DAVIS ST,DALLAS,TX,75208
76,509 N HAMPTON RD,DALLAS,TX,75208
77,1445 ROSS AVE STE B101,DALLAS,TX,75202
78,117 S CENTRAL EXPY,RICHARDSON,TX,75080
79,606 VALENCIA ST,DALLAS,TX,75223
80,5431 BOTHAM JEAN BLVD,DALLAS,TX,75215
81,4903 S LANCASTER RD,DALLAS,TX,75216
82,1701 S BECKLEY RD,GLENN HEIGHTS,TX,75154
83,2800 S BECKLEY AVE,DALLAS,TX,75224
84,532 W JEFFERSON BLVD,DALLAS,TX,75208
85,500 W KIEST BLVD,DALLAS,TX,75224
86,6045 SHERRY LN,DALLAS,TX,75225
87,11422 HARRY HINES BLVD STE 210,DALLAS,TX,75229
88,6909 ROWLETT RD STE 104,ROWLETT,TX,75089
89,2434 BELT LINE RD,GARLAND,TX,75044
90,10788 HARRY HINES BLVD STE A12,DALLAS,TX,75220
91,13410 PRESTON RD STE A,DALLAS,TX,75240
92,7170 SKILLMAN ST STE 140,DALLAS,TX,75231
93,2505 FORT WORTH AVE,DALLAS,TX,75211
94,1919 BRYAN ST STE 102,DALLAS,TX,75201
95,4550 GUS THOMASSON RD STE 62,MESQUITE,TX,75150
96,5923 GREENVILLE AVE,DALLAS,TX,75206
97,842 BELT LINE RD,GARLAND,TX,75040
98,3316 OAK LAWN AVE,DALLAS,TX,75219
99,1951 MILITARY PKWY,MESQUITE,TX,75149
100,3305 W WALNUT HILL LN,IRVING,TX,75038
101,1630 VALWOOD PKWY STE 114,CARROLLTON,TX,75006
102,327 S CADIZ,DALLAS,TX,75207
103,14999 PRESTON RD,DALLAS,TX,75254
104,209 S ROGERS RD,IRVING,TX,75060
105,2439 VALWOOD PKWY,FARMERS BRANCH,TX,75234
106,1045 MAJORS DR,MESQUITE,TX,75149
107,1601 NORTHWEST HWY,GARLAND,TX,75041
108,406 N CARRIER PKWY,GRAND PRAIRIE,TX,75050
109,11453 HARRY HINES BLVD STE 100,DALLAS,TX,75229
110,2121 W ROCHELLE RD STE 105,IRVING,TX,75062
111,2627 W JEFFERSON BLVD,DALLAS,TX,75211
112,906 E SHADY GROVE RD,IRVING,TX,75060
113,906 HIGHWAY 66,GARLAND,TX,75040
114,9501 FOREST LN,DALLAS,TX,75243
115,495 W ILLINOIS AVE,DALLAS,TX,75224
116,3405 HIGH PRAIRIE RD,GRAND PRAIRIE,TX,75050
117,1423B N BELT LINE RD,IRVING,TX,75061
118,4010 N MACARTHUR BLVD,IRVING,TX,75038
119,635 W CAMPBELL RD STE 200,RICHARDSON,TX,75080
120,9508 WEBB CHAPEL RD STE 100,DALLAS,TX,75220
121,2506 S BELT LINE RD,GRAND PRAIRIE,TX,75052
122,447 E HIGHWAY 67,DUNCANVILLE,TX,75137
123,2926 N BELT LINE RD,IRVING,TX,75062
124,489 E FM 1382,CEDAR HILL,TX,75104
125,2210 W MAIN ST STE 102,GRAND PRAIRIE,TX,75050
126,2042 TOWN EAST MALL,MESQUITE,TX,75150
127,210 N KAUFMAN ST STE C,SEAGOVILLE,TX,75159
128,3434 W ILLINOIS AVE,DALLAS,TX,75211
129,3380 LOMBARDY LN,DALLAS,TX,75220
130,12209 LAKE JUNE RD,MESQUITE,TX,75180
131,2534 ROYAL LN,DALLAS,TX,75229
132,9850 WALNUT HILL LN STE 224,DALLAS,TX,75238
133,7771 GREAT TRINITY FOREST WAY,DALLAS,TX,75217
134,5329 ROSS AVE,DALLAS,TX,75206
135,3415 MALCOLM X BLVD,DALLAS,TX,75215
136,2314 W ILLINOIS AVE,DALLAS,TX,75224
137,3555 W WALNUT ST STE 203,GARLAND,TX,75042
138,4203 LINDBERGH DR,ADDISON,TX,75001
139,327 W MOCKINGBIRD LN,DALLAS,TX,75247
140,1000 S ROYAL LANE,COPPELL,TX,75019
141,1100 E PLEASANT RUN RD STE 133,DESOTO,TX,75115
142,195 HISTORIC TOWN SQ,LANCASTER,TX,75146
143,8101 S POLK ST,DALLAS,TX,75232
144,4407 W MOCKINGBIRD LN,DALLAS,TX,75209
145,2000 OLD DENTON RD STE 104,CARROLLTON,TX,75006
146,1505 S EWING AVE,DALLAS,TX,75216
147,7000 SNIDER PLZ,UNIVERSITY PARK,TX,75205
148,9430 LARGA DR STE 101,DALLAS,TX,75220
149,8698 SKILLMAN ST,DALLAS,TX,75243
150,500 MAIN ST STE 2,GARLAND,TX,75040
151,11920 PRESTON RD,DALLAS,TX,75230
152,6037 CAMPBELL RD,DALLAS,TX,75248
153,2101 CEDAR SPRINGS RD STE 160,DALLAS,TX,75201
154,1927 E BELT LINE RD STE 136,CARROLLTON,TX,75006
155,3460 WEBB CHAPEL EXT,DALLAS,TX,75220
156,317 WESTCHASE DR,GRAND PRAIRIE,TX,75052
157,5520 S HAMPTON RD,DALLAS,TX,75232
158,424 S R L THORNTON FWY,DALLAS,TX,75203
159,2900 W WHEATLAND RD,DALLAS,TX,75237
160,4781 N BELT LINE RD,MESQUITE,TX,75150
161,6521 JEANE ST,DALLAS,TX,75217
162,6500 SKILLMAN ST,DALLAS,TX,75231
163,2642 MAIN ST STE 150,DALLAS,TX,75226
164,12175 GARLAND RD,DALLAS,TX,75218
165,3225 FOREST LN,GARLAND,TX,75042
166,2702 S BUCKNER BLVD STE 130,DALLAS,TX,75227
167,10560 NEW CHURCH RD,DALLAS,TX,75238
168,10880 FERGUSON RD,DALLAS,TX,75228
169,4215 BOTHAM JEAN BLVD,DALLAS,TX,75215
170,5450 W LOVERS LN STE 130,DALLAS,TX,75209
171,3347 W WALNUT ST # 268,GARLAND,TX,75042
172,2411 N GALLOWAY AVE STE 125,MESQUITE,TX,75150
173,2521 W AIRPORT FWY,IRVING,TX,75062
174,3404 S LANCASTER RD,DALLAS,TX,75216
175,2150 N JOSEY LN STE 324,CARROLLTON,TX,75006
176,11445 GARLAND RD,DALLAS,TX,75218
177,4515 ELECTRA ST,DALLAS,TX,75215
178,2534 ROYAL LN,DALLAS,TX,75229
179,505 AIRLINE DR,COPPELL,TX,75019
180,7272 GASTON AVE,DALLAS,TX,75214
181,13111 N CENTRAL EXPY,DALLAS,TX,75243
182,700 N PEARL ST STE H204,DALLAS,TX,75201
183,39 ARAPAHO VILLAGE,RICHARDSON,TX,75080
184,1906 S HASKELL AVE,DALLAS,TX,75223
185,10301 HARRY HINES BLVD,DALLAS,TX,75220
186,1613 SKYLINE DR,GARLAND,TX,75043
187,1017 FORT WORTH ST STE 600,GRAND PRAIRIE,TX,75050
188,4216 ABRAMS RD,DALLAS,TX,75214
189,1340 CENTERVILLE RD,DALLAS,TX,75218
190,9727 WEBB CHAPEL RD,DALLAS,TX,75220
191,1827 N GALLOWAY AVE,MESQUITE,TX,75149
192,10911 DENNIS RD STE 407,DALLAS,TX,75229
193,6419 SKILLMAN ST # T1784,DALLAS,TX,75231
194,2301 DOTY LN,BALCH SPRINGS,TX,75180
195,2240 IRVING BLVD,DALLAS,TX,75207
196,805 E BELTLINE RD,CEDAR HILL,TX,75104
