TAXPAYER_NUMBER,TAXPAYER_NAME,TAXPAYER_ADDRESS,TAXPAYER_CITY,TAXPAYER_STATE,TAXPAYER_ZIP_CODE,TAXPAYER_COUNTY_CODE,TAXPAYER_ORGANIZATION_TYPE,OUTLET_NUMBER,OUTLET_NAME,OUTLET_ADDRESS,OUTLET_CITY,OUTLET_STATE,OUTLET_ZIP_CODE,OUTLET_COUNTY_CODE,OUTLET_NAICS_CODE,OUTLET_INSIDE/OUTSIDE_CITY_LIMITS_INDICATOR,OUTLET_PERMIT_ISSUE_DATE,OUTLET_FIRST_SALES_DATE,ID,Latitude,Longitude,Match_Status,Match_Type
17527673150,"ORTEGA INVESTMENTS, INC.",2727 LYNDON B JOHNSON FWY STE 927,FARMERS BRNCH,TX,75234,57,CT,3,LA AZTECA MEAT MARKET #2,3046 FOREST LN STE B,DALLAS,TX,75234,57.0,445210.0,Y,04/02/2007,04/05/2007,0,32.909537128346,-96.875249082081,Match,Non_Exact
32050333254,"WINCO FOODS, LLC",PO BOX 5756 ATTN: KIRBY SANDBERG,BOISE,ID,83705,0,CI,6,WINCO FOODS,1122 W CENTERVILLE RD,GARLAND,TX,75041,57.0,445110.0,Y,11/24/2014,02/03/2015,1,,,No_Match,
32085465873,JMSY FAMILY INC,2332 BELLA CT,CARROLLTON,TX,75010,61,CT,1,DONUT HOUSE,6421 RIVERSIDE DR STE 110,IRVING,TX,75039,57.0,445291.0,Y,07/21/2022,08/01/2022,2,32.897319553596,-96.939050248351,Match,Exact
32059446701,JOSEFINA SANCHEZ,1639 S BUCKNER BLVD,DALLAS,TX,75217,57,IS,1,DULCERIA EMMANUEL,1639 S BUCKNER BLVD,DALLAS,TX,75217,57.0,445292.0,Y,02/01/2016,01/01/2016,3,32.740362487008,-96.683041428861,Match,Non_Exact
32044349556,KIM & KU INC.,11445 EMERALD ST STE 112,DALLAS,TX,75229,57,CT,3,SK DONUTS,5181 KELLER SPRINGS RD STE 103,DALLAS,TX,75248,57.0,445291.0,Y,05/02/2019,05/15/2019,4,,,No_Match,
32063121290,BLIS LLC,1900 S JOSEY LN,CARROLLTON,TX,75006,57,CL,1,POSCO BEER & WINE,1900 S JOSEY LN,CARROLLTON,TX,75006,57.0,445120.0,Y,04/05/2017,05/15/2017,5,32.96467488744,-96.889922895209,Match,Non_Exact
32040748454,"SHAYONA VEGETARIAN, LLC",81 SUTTONS LN,PISCATAWAY,NJ,08854,0,CL,8,BAPS SHAYONA,4601 N STATE HIGHWAY 161,IRVING,TX,75038,57.0,445299.0,Y,08/09/2010,07/01/2010,6,,,No_Match,
32068166191,AFSA ENTERPRISES INC,1600 MARSH LN STE 100,CARROLLTON,TX,75006,57,CT,1,ONE STOP FOOD STORE,1600 MARSH LN STE 100,CARROLLTON,TX,75006,57.0,445120.0,Y,10/18/2018,10/15/2018,7,,,No_Match,
32069866518,MARIA ANDREE BOUTIQUE BAKERY LLC,6906 SNIDER PLZ,DALLAS,TX,75205,57,CL,1,MARIA ANDREE BOUTIQUE BAKERY,6906 SNIDER PLZ,DALLAS,TX,75205,57.0,445291.0,Y,12/15/2020,12/18/2020,8,32.849445592542,-96.787728484408,Match,Exact
32063533080,TEAM BAILEY LLC,7720 WINDSOR DR,ALLENTOWN,PA,18106,0,CL,9,DOMINO'S #6971,2615 OAK LAWN AVE STE 110,DALLAS,TX,75219,57.0,445299.0,Y,12/13/2017,01/08/2018,9,32.805478942931,-96.812826299989,Match,Exact
