ADDITONAL_ADDRESS,STATE,COUNTY,LONGITUDE,STORE_NAME,STORE_TYPE,ZIP4,Ï»¿X,GRANTEE_NAME,RECORD_ID,INCENTIVE_PROGRAM,Y,OBJECTID,STORE_STREET_ADDRESS,LATITUDE,ZIP_CODE,CITY,CUISINE_TYPE,CATEGORY,SUBCATEGORY,SUB_SUBCATEGORY
,TX,DALLAS,-96.594841,7-eleven Convenience Store 32914B,Convenience Store,5826,-10752888.5133772,,1397961.0,,3874255.17341825,33.0,6122 BROADWAY BLVD,32.841278,75043,GARLAND,General Retail/Food/Other,,,
,TX,DALLAS,-96.885239,Grand Trip,Convenience Store,3306,-10785215.4708646,,1627853.0,,3849506.5302583,217.0,7500 S WESTMORELAND RD,32.654293,75237,DALLAS,General Retail/Food/Other,,,
,TX,DALLAS,-96.856522,Corner Market,Convenience Store,5621,-10782018.7090475,,1618795.0,,3860978.93663868,218.0,500 S HAMPTON RD,32.74102,75208,DALLAS,General Retail/Food/Other,,,
,TX,DALLAS,-96.68573,Joe V's Smart Shop 805,Supermarket,    ,-10763006.2305759,,1634103.0,,3867771.30925812,279.0,7700 SAMUELL BLVD,32.792328,75227,DALLAS,General Retail/Food/Other,,,
,TX,DALLAS,-96.67308,WB Ferguson Shell,Convenience Store,3013,-10761598.0390174,,1618256.0,,3873356.62377886,280.0,10290 FERGUSON RD,32.834496,75228,DALLAS,General Retail/Food/Other,,,
,TX,DALLAS,-96.891655,7-Eleven 27334,Convenience Store,3406,-10785929.6967175,,928284.0,,3847603.14655666,282.0,826 E HIGHWAY 67,32.639896,75137,DUNCANVILLE,General Retail/Food/Other,,,
,TX,DALLAS,-96.823151,Seaneen Mart,Convenience Store,2879,-10778303.8663202,,1628829.0,,3860141.47996937,363.0,1041 S BECKLEY AVE,32.734692,75203,DALLAS,General Retail/Food/Other,,,
,TX,DALLAS,-96.768806,Emily Grocery,Convenience Store,3657,-10772254.2085931,,453956.0,,3863163.24737286,364.0,1818 METROPOLITAN AVE,32.757523,75215,DALLAS,General Retail/Food/Other,,,
,TX,DALLAS,-96.753204,Jjmg Food Mart 24/7,Convenience Store,4733,-10770517.4018977,,1631293.0,,3863038.95197298,365.0,4600 MALCOLM X BLVD,32.756584,75215,DALLAS,General Retail/Food/Other,,,
,TX,DALLAS,-96.884811,7-Eleven Store 22889,Convenience Store,1316,-10785167.8261225,,1422850.0,,3879481.02672337,367.0,10998 HARRY HINES BLVD,32.880711,75220,DALLAS,General Retail/Food/Other,,,
