GRANTEE_NAME,STORE_NAME,ADDITONAL_ADDRESS,LATITUDE,OBJECTID,CITY,STORE_STREET_ADDRESS,ZIP4,COUNTY,INCENTIVE_PROGRAM,Y,ZIP_CODE,RECORD_ID,STATE,STORE_TYPE,Ï»¿X,LONGITUDE
,7-eleven Convenience Store 32914B,,32.841278,33,GARLAND,6122 BROADWAY BLVD,5826,DALLAS,,3874255.17341825,75043,1397961.0,TX,Convenience Store,-10752888.5133772,-96.594841
,Grand Trip,,32.654293,217,DALLAS,7500 S WESTMORELAND RD,3306,DALLAS,,3849506.5302583,75237,1627853.0,TX,Convenience Store,-10785215.4708646,-96.885239
,Corner Market,,32.74102,218,DALLAS,500 S HAMPTON RD,5621,DALLAS,,3860978.93663868,75208,1618795.0,TX,Convenience Store,-10782018.7090475,-96.856522
,Joe V's Smart Shop 805,,32.792328,279,DALLAS,7700 SAMUELL BLVD,    ,DALLAS,,3867771.30925812,75227,1634103.0,TX,Supermarket,-10763006.2305759,-96.68573
,WB Ferguson Shell,,32.834496,280,DALLAS,10290 FERGUSON RD,3013,DALLAS,,3873356.62377886,75228,1618256.0,TX,Convenience Store,-10761598.0390174,-96.67308
,7-Eleven 27334,,32.639896,282,DUNCANVILLE,826 E HIGHWAY 67,3406,DALLAS,,3847603.14655666,75137,928284.0,TX,Convenience Store,-10785929.6967175,-96.891655
,Seaneen Mart,,32.734692,363,DALLAS,1041 S BECKLEY AVE,2879,DALLAS,,3860141.47996937,75203,1628829.0,TX,Convenience Store,-10778303.8663202,-96.823151
,Emily Grocery,,32.757523,364,DALLAS,1818 METROPOLITAN AVE,3657,DALLAS,,3863163.24737286,75215,453956.0,TX,Convenience Store,-10772254.2085931,-96.768806
,Jjmg Food Mart 24/7,,32.756584,365,DALLAS,4600 MALCOLM X BLVD,4733,DALLAS,,3863038.95197298,75215,1631293.0,TX,Convenience Store,-10770517.4018977,-96.753204
,7-Eleven Store 22889,,32.880711,367,DALLAS,10998 HARRY HINES BLVD,1316,DALLAS,,3879481.02672337,75220,1422850.0,TX,Convenience Store,-10785167.8261225,-96.884811
,Regal Row Chevron,,32.836231,368,DALLAS,1607 REGAL ROW,3621,DALLAS,,3873586.48802408,75247,1628630.0,TX,Convenience Store,-10783978.043405,-96.874123
,7-Eleven 27644,,32.82243,634,IRVING,801 N BELT LINE RD,6317,DALLAS,,3871758.16472083,75061,945902.0,TX,Convenience Store,-10797314.5636799,-96.993927
,Big Five,,32.748249,870,BALCH SPRINGS,1499 S PEACHTREE RD,1101,DALLAS,,3861935.70573169,75180,1397596.0,TX,Convenience Store,-10756943.1031904,-96.631264
,Store T-24,,32.854511,947,DALLAS,11740 FERGUSON RD,8202,DALLAS,,3876008.6160788,75228,1628627.0,TX,Convenience Store,-10759002.6250896,-96.649765
,7-Eleven 12137,,32.832481,970,DALLAS,3702 GREENVILLE AVE,5312,DALLAS,,3873089.66892408,75206,939647.0,TX,Convenience Store,-10772396.9201803,-96.770088
,Pay Low Food Beer & Wine,Ste 100,32.735268,1148,DALLAS,3701 W CLARENDON DR,4937,DALLAS,,3860217.70618223,75211,1635014.0,TX,Convenience Store,-10784787.336103,-96.881393
,Abyssinia Market No,Ste 1,32.909611,1149,DALLAS,9191 FOREST LN,8933,DALLAS,,3883312.47203319,75243,1627006.0,TX,Other,-10769467.6590995,-96.743774
,Cherry Grocery Store,Ste 100,32.916832,1151,GARLAND,3801 W WALNUT ST,6258,DALLAS,,3884269.99831126,75042,1397707.0,TX,Grocery Store,-10763250.0202608,-96.68792
,Ez Trip Food Store #22,,32.945637,1152,RICHARDSON,1031 FRANCES WAY,4340,DALLAS,,3888090.40545324,75081,1421329.0,TX,Convenience Store,-10765759.6068612,-96.710464
,Abyssinia Market Irving ,,32.867268,1468,IRVING,4010 N BELT LN RD,    ,DALLAS,,3877699.23382367,75038,1627332.0,TX,Grocery Store,-10795945.4452627,-96.981628
,Highland Food Store,,32.80769,1597,DALLAS,1406 GREENVILLE AVE,7703,DALLAS,,3869805.75863185,75206,948561.0,TX,Convenience Store,-10772403.7106692,-96.770149
,Kelley Produce Dfm,Unit 162,32.777588,1878,DALLAS,920 S HARWOOD,    ,DALLAS,,3865819.56411032,75201,1627921.0,TX,Other,-10774616.1855487,-96.790024
,Dearl's Grocery ,,32.720345,1880,DALLAS,9223 ELAM RD,4152,DALLAS,,3858242.99742815,75217,1320891.0,TX,Convenience Store,-10760333.449602,-96.66172
,Chill Zone Beer & Wine,Ste 200,32.877628,1997,GARLAND,3115 S 1ST ST,3424,DALLAS,,3879072.36879751,75041,1395157.0,TX,Convenience Store,-10756911.5997745,-96.630981
,KROGER 511,Ste 300,32.865559,2496,DALLAS,10677 E NORTHWEST HWY,4899,DALLAS,,3877472.73498549,75238,255060.0,TX,Super Store,-10764772.7595753,-96.701599
,Walmart Supercenter 789,,32.78878,2647,MESQUITE,200 US HIGHWAY 80 E,1656,DALLAS,,3867301.48378806,75149,250180.0,TX,Super Store,-10753364.0702419,-96.599113
,DOLLAR GENERAL 3560,Ste 105,32.962818,2692,RICHARDSON,531 W ARAPAHO RD,4344,DALLAS,,3890369.71408364,75080,250604.0,TX,Discount Retail,-10768669.3870311,-96.736603
,NEW TRUONG NGUYEN MARKET,Ste 221,32.918491,2928,GARLAND,3555 W WALNUT ST,4016,DALLAS,,3884489.99772677,75042,244478.0,TX,Super Store,-10762875.4301743,-96.684555
,DOLLAR GENERAL 4515,,32.746452,2939,GRAND PRAIRIE,508 N CARRIER PKWY,5428,DALLAS,,3861697.86281094,75050,244599.0,TX,Discount Retail,-10799854.8744598,-97.016747
,Target T 1836,,32.601971,2992,CEDAR HILL,739 N HIGHWAY 67,2142,DALLAS,,3842590.66299662,75104,245243.0,TX,Super Store,-10790679.8107092,-96.934326
,DOLLAR GENERAL 8497,,32.631123,3058,DUNCANVILLE,1546 S CLARK RD,3602,DALLAS,,3846443.44504903,75137,248319.0,TX,Discount Retail,-10791542.7594018,-96.942078
,WALGREENS  3847,,32.881073,3260,IRVING,5310 N MACARTHUR BLVD,3101,DALLAS,,3879529.01149278,75038,269550.0,TX,Pharmacy,-10793934.347342,-96.963562
,Target 1489,,32.965866,3541,GARLAND,5301 N GARLAND AVE,2716,DALLAS,,3890774.12173825,75040,267426.0,TX,Super Store,-10758670.5590485,-96.646782
,TOM THUMB  3621,,32.860073,3863,IRVING,4010 N MACARTHUR BLVD,6413,DALLAS,,3876745.68862872,75038,236670.0,TX,Supermarket,-10793256.6342821,-96.957474
,Walmart SUPERCENTER 5147,,32.72868,4084,DALLAS,1521 S COCKRELL HILL RD,    ,DALLAS,,3859345.89827388,75211,287398.0,TX,Super Store,-10785917.0062956,-96.891541
,SUPER MERCADO MEXICO # 4,,32.800983,4265,DALLAS,5535 COLUMBIA AVE,5123,DALLAS,,3868917.48131535,75214,239168.0,TX,Supermarket,-10770902.1220579,-96.75666
,Fiesta Mart 54,,32.880661,4517,GARLAND,2940 S 1ST ST,3437,DALLAS,,3879474.39900819,75041,284355.0,TX,Super Store,-10756804.6217438,-96.63002
,CVS/PHARMACY 7742,,32.829109,4740,DALLAS,5659 LEMMON AVE,6225,DALLAS,,3872642.94710497,75209,226361.0,TX,Pharmacy,-10778675.784739,-96.826492
,KROGER 448,,32.970753,4858,COPPELL,950 E SANDY LAKE RD,3109,DALLAS,,3891422.55643974,75019,286040.0,TX,Super Store,-10793647.2543753,-96.960983
,Walgreens 4340,,32.939571,5154,GARLAND,2614 LAVON DR,8762,DALLAS,,3887285.7684564,75040,258650.0,TX,Pharmacy,-10755906.9413701,-96.621956
