TAXPAYER_NUMBER,TAXPAYER_NAME,TAXPAYER_ADDRESS,TAXPAYER_CITY,TAXPAYER_STATE,TAXPAYER_ZIP_CODE,TAXPAYER_COUNTY_CODE,TAXPAYER_ORGANIZATION_TYPE,OUTLET_NUMBER,OUTLET_NAME,OUTLET_ADDRESS,OUTLET_CITY,OUTLET_STATE,OUTLET_ZIP_CODE,OUTLET_COUNTY_CODE,OUTLET_NAICS_CODE,OUTLET_INSIDE/OUTSIDE_CITY_LIMITS_INDICATOR,OUTLET_PERMIT_ISSUE_DATE,OUTLET_FIRST_SALES_DATE,ID,Latitude,Longitude,Match_Status,Match_Type
32055946761,SUN BLISS ASSOCIATES LLC,12018 RIVER DEE DR,HUMBLE,TX,77346,101,CL,1,BAYTOWN DISCOUNT LIQUOR STORE,3423 GARTH RD SPC 10,BAYTOWN,TX,77521,101.0,445310.0,Y,04/09/2020,04/01/2015,0,29.758530546512,-94.977348575877,Match,Exact
32043031122,CHINA PLACE LIQUOR CITY INC.,6600 SANDS POINT DR STE 288,HOUSTON,TX,77074,101,CT,1,CHINA PLACE LIQUOR CITY,9968 BELLAIRE BLVD STE 180,HOUSTON,TX,77036,101.0,445310.0,Y,06/08/2011,08/01/2011,1,29.704610872909,-95.556320464488,Match,Exact
32059062599,KSP TRADING INC,11518 HAVARD OAKS DR,HOUSTON,TX,77095,101,CT,2,BEST BUY LIQUOR,10502 HUFFMEISTER RD STE C,HOUSTON,TX,77065,101.0,445310.0,Y,05/06/2019,06/01/2019,2,29.929202642243,-95.628601370337,Match,Non_Exact
17606039679,"RANDALL'S BEVERAGE COMPANY, INC.",PO BOX 29096,PHOENIX,AZ,85038,0,CT,3,RANDALL'S #1012,5219 FM 1960 RD W,HOUSTON,TX,77069,101.0,445110.0,Y,05/20/1999,06/26/1999,3,29.983232483463,-95.506665549859,Match,Exact
32038430628,DR HOPESON INTERNATIONAL LLC,6806 W MONTGOMERY RD,HOUSTON,TX,77091,101,CL,1,O-LAN-O,6806 W MONTGOMERY RD,HOUSTON,TX,77091,101.0,445120.0,Y,03/16/2009,04/01/2009,4,29.857936665503,-95.421517555735,Match,Exact
17601836095,"KIM HUNG SUPERMARKET, INC.",1005 ST EMANUEL ST,HOUSTON,TX,77003,101,CT,3,KIM HUNG SUPER MARKET,1005 SAINT EMANUEL ST,HOUSTON,TX,77003,101.0,445110.0,Y,01/15/1993,02/20/1993,5,29.751152792454,-95.355492369961,Match,Exact
32037423053,"CHRISTIAN PLAZA, L.L.C.",10030 KATHERINE CT,HOUSTON,TX,77089,101,CL,2,SUPERMERCADO MONTERREY,9855 FUQUA ST STE A,HOUSTON,TX,77075,101.0,445110.0,Y,07/26/2023,07/25/2023,6,29.611258926906,-95.238919606356,Match,Non_Exact
32068080285,MOON ENTERPRISE INC,1225 MARTINEZ CT,FRIENDSWOOD,TX,77546,84,CT,1,SPEED FUEL,4829 TODVILLE RD,SEABROOK,TX,77586,101.0,445120.0,Y,08/24/2018,09/15/2018,7,29.587731350117,-95.002401787615,Match,Exact
32081600580,"2021 NEPALI BROTHERS, LLC",6233 GULFTON ST APT 3057,HOUSTON,TX,77081,101,CL,1,NEIGHBORHOOD GROCERY STORE,2817 HARDY ST,HOUSTON,TX,77009,101.0,445120.0,Y,12/16/2021,12/16/2021,8,29.786569905106,-95.352072131687,Match,Exact
32076024069,EXCLUSIVE BUSINESS LLC,20 HARBOR VIEW DR,SUGAR LAND,TX,77479,79,CL,1,EXCLUSIVE WINE & LIQUOR #1,11616 T C JESTER BLVD STE 200,HOUSTON,TX,77067,101.0,445310.0,N,11/21/2020,12/01/2020,9,29.952139620644,-95.452620506193,Match,Exact
17430106587,"HEB BEVERAGE COMPANY, LLC",PO BOX 839999,SAN ANTONIO,TX,78283,15,CL,182,HEB PANTRY FOODS #364,11700 BELLAIRE BLVD,HOUSTON,TX,77072,101.0,445310.0,Y,09/18/2001,09/01/2001,10,29.703814941082,-95.584490943,Match,Exact
32101714312,"AIGLEMONT ENTERPRISE, LLC",12420 PALMSPRINGS DR,HOUSTON,TX,77034,101,CL,1,#1 FOOD STORE,12420 PALMSPRINGS DR,HOUSTON,TX,77034,101.0,445120.0,Y,08/22/2025,08/22/2025,11,29.623610208746,-95.204191807255,Match,Exact
17418740332,"FIESTA MART, L.L.C.",600 CITADEL DR,COMMERCE,CA,90040,0,CL,45,FIESTA MART # 28,11006 AIRLINE DR,HOUSTON,TX,77037,101.0,445110.0,Y,05/27/1992,07/15/1992,12,29.915807429378,-95.405204160256,Match,Exact
32046463249,SAIR INC,4101 W OREM DR,HOUSTON,TX,77045,101,CT,1,STAR MART FOOD STORE,4101 W OREM DR,HOUSTON,TX,77045,101.0,445120.0,Y,01/12/2012,04/01/2012,13,29.627647851009,-95.438081900512,Match,Exact
32072359329,JTK LIQUID ASSETS INC,12620 WOODFOREST BLVD STE 350,HOUSTON,TX,77015,101,CT,2,EAST SIDE LIQUOR & WINE,12620 WOODFOREST BLVD STE 350,HOUSTON,TX,77015,101.0,445310.0,Y,09/27/2024,10/01/2024,14,29.791331061212,-95.201808767338,Match,Exact
12631240681,"AFCO MANAGEMENT, INC.",PO BOX 16849,SUGAR LAND,TX,77496,79,CT,5,STAR STOP 147,6015 LONG DR,HOUSTON,TX,77087,101.0,445120.0,Y,11/21/2023,01/01/2024,15,29.693955263034,-95.323851066949,Match,Exact
32091202542,MERCURY RETAIL LLC,7120 SCOTT ST,HOUSTON,TX,77021,101,CL,1,FUEL DEPOT #58,1002 MERCURY DR,JACINTO CITY,TX,77029,101.0,445120.0,Y,11/03/2023,02/01/2024,16,29.771825269342,-95.247696773277,Match,Exact
32044792565,"FINE WINES & SPIRITS OF NORTH TEXAS, LLC",6600 ROCKLEDGE DR STE 150,BETHESDA,MD,20817,0,CL,17,TOTAL WINE SPIRITS BEER & MORE,2617 W HOLCOMBE BLVD,HOUSTON,TX,77025,101.0,445310.0,Y,09/07/2016,11/16/2016,17,29.706100817833,-95.418613195118,Match,Exact
32019817249,BRIGHT STAR BUSINESS INC.,10902 SHADOW WOOD DR,HOUSTON,TX,77043,101,CT,2,SAM'S MART #6,1518 BRITTMOORE RD STE A,HOUSTON,TX,77043,101.0,445120.0,Y,06/19/2018,07/01/2018,18,29.811629234244,-95.569816051612,Match,Non_Exact
