STORE_TYPE,ZIP4,ZIP_CODE,RECORD_ID,STATE,LONGITUDE,STORE_STREET_ADDRESS,INCENTIVE_PROGRAM,Y,ADDITONAL_ADDRESS,CITY,STORE_NAME,LATITUDE,Ï»¿X,OBJECTID,GRANTEE_NAME,COUNTY
Convenience Store,2709,77051,1627166.0,TX,-95.36763,9123 SCOTT ST,,3459920.71001679,,HOUSTON,Sunny Side Food Store,29.660002,-10616276.0097613,176,,HARRIS
Grocery Store,3492,77379,1408288.0,TX,-95.507751,20423 KUYKENDAHL RD,,3512265.05195028,Ste 300,SPRING,Kohinoor Indo/pak Grocery Halal Meat & Cafe,30.067778,-10631874.2081308,220,,HARRIS
Convenience Store,1613,77067,1631464.0,TX,-95.435699,1050 W RANKIN RD,,3499239.70285463,Ste 230 & 240,HOUSTON,La Monarca Meat Market #2,29.966463,-10623853.4161801,715,,HARRIS
Convenience Store,1555,77071,1380675.0,TX,-95.522011,8103 CREEKBEND DR,,3460566.24245925,STE A,HOUSTON,Welcome Food Mart,29.665041,-10633461.6240695,732,,HARRIS
Other,1392,77099,1632322.0,TX,-95.598244,12450 BISSONNET ST,,3462124.54421211,Ste 210,HOUSTON,Mina Halal Meat,29.677204,-10641947.8428111,779,,HARRIS
Grocery Store,5683,77095,1620891.0,TX,-95.638855,15315 FM 529 RD,,3488021.29056961,Ste 140,HOUSTON,Premier Meat Market,29.87912,-10646468.6386517,871,,HARRIS
Other,2734,77072,1631812.0,TX,-95.56929,10796 BELLAIRE BLVD,,3465679.76139569,Ste A,HOUSTON,Sun Wing Bellaire Market Llc,29.704948,-10638724.6982747,954,,HARRIS
Grocery Store,3516,77074,1634664.0,TX,-95.505417,6806 BINTLIFF DR,,3465892.25464388,,HOUSTON,Simply Halal,29.706606,-10631614.3884393,1089,,HARRIS
Convenience Store,    ,77084,1632690.0,TX,-95.683121,5734 BARKER CYPRESS RD,,3485175.44903469,,HOUSTON,1 Stop #12,29.856951,-10651396.3072312,1094,,HARRIS
Convenience Store,1348,77042,1625437.0,TX,-95.576286,740 WILCREST DR,,3472181.87538501,,HOUSTON,Sun Food Store,29.755669,-10639503.4894323,1210,,HARRIS
Convenience Store,1547,77044,1131232.0,TX,-95.192261,13302 TIDWELL RD,,3484628.53555105,,HOUSTON,Express Fuel #9,29.85269,-10596754.0219804,1211,,HARRIS
Convenience Store,2265,77021,1635812.0,TX,-95.369659,3402 OLD SPANISH TRL,,3465215.56940895,,HOUSTON,Delrio Food Mart,29.701326,-10616501.8770081,1214,,HARRIS
