ZIP_CODE,COUNTY,Y,STORE_TYPE,CITY,Ï»¿X,LATITUDE,ADDITONAL_ADDRESS,INCENTIVE_PROGRAM,GRANTEE_NAME,STORE_NAME,STATE,OBJECTID,STORE_STREET_ADDRESS,RECORD_ID,ZIP4,LONGITUDE
75043,DALLAS,3874255.17341825,Convenience Store,GARLAND,-10752888.5133772,32.841278,,,,7-eleven Convenience Store 32914B,TX,33.0,6122 BROADWAY BLVD,1397961.0,5826,-96.594841
75237,DALLAS,3849506.5302583,Convenience Store,DALLAS,-10785215.4708646,32.654293,,,,Grand Trip,TX,217.0,7500 S WESTMORELAND RD,1627853.0,3306,-96.885239
75208,DALLAS,3860978.93663868,Convenience Store,DALLAS,-10782018.7090475,32.74102,,,,Corner Market,TX,218.0,500 S HAMPTON RD,1618795.0,5621,-96.856522
75227,DALLAS,3867771.30925812,Supermarket,DALLAS,-10763006.2305759,32.792328,,,,Joe V's Smart Shop 805,TX,279.0,7700 SAMUELL BLVD,1634103.0,    ,-96.68573
75228,DALLAS,3873356.62377886,Convenience Store,DALLAS,-10761598.0390174,32.834496,,,,WB Ferguson Shell,TX,280.0,10290 FERGUSON RD,1618256.0,3013,-96.67308
75137,DALLAS,3847603.14655666,Convenience Store,DUNCANVILLE,-10785929.6967175,32.639896,,,,7-Eleven 27334,TX,282.0,826 E HIGHWAY 67,928284.0,3406,-96.891655
75203,DALLAS,3860141.47996937,Convenience Store,DALLAS,-10778303.8663202,32.734692,,,,Seaneen Mart,TX,363.0,1041 S BECKLEY AVE,1628829.0,2879,-96.823151
75215,DALLAS,3863163.24737286,Convenience Store,DALLAS,-10772254.2085931,32.757523,,,,Emily Grocery,TX,364.0,1818 METROPOLITAN AVE,453956.0,3657,-96.768806
75215,DALLAS,3863038.95197298,Convenience Store,DALLAS,-10770517.4018977,32.756584,,,,Jjmg Food Mart 24/7,TX,365.0,4600 MALCOLM X BLVD,1631293.0,4733,-96.753204
75220,DALLAS,3879481.02672337,Convenience Store,DALLAS,-10785167.8261225,32.880711,,,,7-Eleven Store 22889,TX,367.0,10998 HARRY HINES BLVD,1422850.0,1316,-96.884811
75247,DALLAS,3873586.48802408,Convenience Store,DALLAS,-10783978.043405,32.836231,,,,Regal Row Chevron,TX,368.0,1607 REGAL ROW,1628630.0,3621,-96.874123
75061,DALLAS,3871758.16472083,Convenience Store,IRVING,-10797314.5636799,32.82243,,,,7-Eleven 27644,TX,634.0,801 N BELT LINE RD,945902.0,6317,-96.993927
75180,DALLAS,3861935.70573169,Convenience Store,BALCH SPRINGS,-10756943.1031904,32.748249,,,,Big Five,TX,870.0,1499 S PEACHTREE RD,1397596.0,1101,-96.631264
75228,DALLAS,3876008.6160788,Convenience Store,DALLAS,-10759002.6250896,32.854511,,,,Store T-24,TX,947.0,11740 FERGUSON RD,1628627.0,8202,-96.649765
75206,DALLAS,3873089.66892408,Convenience Store,DALLAS,-10772396.9201803,32.832481,,,,7-Eleven 12137,TX,970.0,3702 GREENVILLE AVE,939647.0,5312,-96.770088
75211,DALLAS,3860217.70618223,Convenience Store,DALLAS,-10784787.336103,32.735268,Ste 100,,,Pay Low Food Beer & Wine,TX,1148.0,3701 W CLARENDON DR,1635014.0,4937,-96.881393
75243,DALLAS,3883312.47203319,Other,DALLAS,-10769467.6590995,32.909611,Ste 1,,,Abyssinia Market No,TX,1149.0,9191 FOREST LN,1627006.0,8933,-96.743774
75042,DALLAS,3884269.99831126,Grocery Store,GARLAND,-10763250.0202608,32.916832,Ste 100,,,Cherry Grocery Store,TX,1151.0,3801 W WALNUT ST,1397707.0,6258,-96.68792
75081,DALLAS,3888090.40545324,Convenience Store,RICHARDSON,-10765759.6068612,32.945637,,,,Ez Trip Food Store #22,TX,1152.0,1031 FRANCES WAY,1421329.0,4340,-96.710464
75038,DALLAS,3877699.23382367,Grocery Store,IRVING,-10795945.4452627,32.867268,,,,Abyssinia Market Irving ,TX,1468.0,4010 N BELT LN RD,1627332.0,    ,-96.981628
75206,DALLAS,3869805.75863185,Convenience Store,DALLAS,-10772403.7106692,32.80769,,,,Highland Food Store,TX,1597.0,1406 GREENVILLE AVE,948561.0,7703,-96.770149
75201,DALLAS,3865819.56411032,Other,DALLAS,-10774616.1855487,32.777588,Unit 162,,,Kelley Produce Dfm,TX,1878.0,920 S HARWOOD,1627921.0,    ,-96.790024
75217,DALLAS,3858242.99742815,Convenience Store,DALLAS,-10760333.449602,32.720345,,,,Dearl's Grocery ,TX,1880.0,9223 ELAM RD,1320891.0,4152,-96.66172
