ZIP_CODE,COUNTY,Y,STORE_TYPE,CITY,Ï»¿X,LATITUDE,ADDITONAL_ADDRESS,INCENTIVE_PROGRAM,GRANTEE_NAME,STORE_NAME,STATE,OBJECTID,STORE_STREET_ADDRESS,RECORD_ID,ZIP4,LONGITUDE,FOOD_COMPOSITE_KEY,TAX_OBJ_ID,ACCOUNT_NUM,APPRAISAL_YR_x,BLDG_CLASS_DESC,YEAR_BUILT,REMODEL_YR,GROSS_BLDG_AREA,FOUNDATION_TYP_DESC,FOUNDATION_AREA,BASEMENT_DESC,BASEMENT_AREA,NUM_STORIES,CONSTR_TYP_DESC,HEATING_TYP_DESC,AC_TYP_DESC,NUM_UNITS,NET_LEASE_AREA,PROPERTY_NAME,PROPERTY_QUAL_DESC,PROPERTY_COND_DESC,PHYS_DEPR_PCT,FUNCT_DEPR_PCT,EXTRNL_DEPR_PCT,TOT_DEPR_PCT,IMP_VAL,LAND_VAL,MKT_VAL,APPR_METHOD_DESC,COMPARABILITY_CD,PCT_COMPLETE,APPRAISAL_YR_y,DIVISION_CD,BIZ_NAME,OWNER_NAME1,OWNER_NAME2,EXCLUDE_OWNER,OWNER_ADDRESS_LINE1,OWNER_ADDRESS_LINE2,OWNER_ADDRESS_LINE3,OWNER_ADDRESS_LINE4,OWNER_CITY,OWNER_STATE,OWNER_ZIPCODE,OWNER_COUNTRY,STREET_NUM,STREET_HALF_NUM,FULL_STREET_NAME,BLDG_ID,UNIT_ID,PROPERTY_CITY,PROPERTY_ZIPCODE,MAPSCO,NBHD_CD,LEGAL1,LEGAL2,LEGAL3,LEGAL4,LEGAL5,DEED_TXFR_DATE,GIS_PARCEL_ID,PHONE_NUM,LMA,IMA,SNAP_COMPOSITE_KEY
75043,DALLAS,3874255.17341825,Convenience Store,GARLAND,-10752888.5133772,32.841278,,,,7-eleven Convenience Store 32914B,TX,33.0,6122 BROADWAY BLVD,1397961.0,5826,-96.594841,6122 BROADWAY BLVD GARLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75237,DALLAS,3849506.5302583,Convenience Store,DALLAS,-10785215.4708646,32.654293,,,,Grand Trip,TX,217.0,7500 S WESTMORELAND RD,1627853.0,3306,-96.885239,7500 S WESTMORELAND RD DALLAS,0075440A0003B0000,0075440A0003B0000,2024.0,CONVENIENCE STORE,2017.0,2017.0,4800.0,CONCRETE SLAB,4800.0,NONE,0.0,1.0,"C-MASONRY, BLOCK, TILT-WALL",CENTRAL HEAT,CENTRAL A/C,0.0,4800.0,CHEVRON/GRAND TRIP,VERY GOOD,GOOD,7.0,0.0,0.0,7.0,,,,COST,A CLASS,1.0,2024.0,COM,CHEVRON/GRAND TRIP,SHIV786 LLC,,N,,12518 EMERALD SPRINGS DR,,,PEARLAND,TEXAS,775846730,UNITED STATES OF AMERICA,7500.0,,S WESTMORELAND RD,,,DALLAS,752373306,63-W (DALLAS),UNASSIGNED,WHEATLAND TERRACE ADDN REPLAT,BLK A/7544  LOT 3B  ACS 0.918,,INT201800311879 DD11262018 CO-DC,7544 A00   03B00      5DA7544 A00,11/29/2018,0075440A0003B0000,,2DSRB3,360500,7500 S WESTMORELAND RD DALLAS
75208,DALLAS,3860978.93663868,Convenience Store,DALLAS,-10782018.7090475,32.74102,,,,Corner Market,TX,218.0,500 S HAMPTON RD,1618795.0,5621,-96.856522,500 S HAMPTON RD DALLAS,00000272183500000,00000272183500000,2024.0,MINI-MART/GAS SERVICE STATION,1986.0,1986.0,1465.0,CONCRETE SLAB,1465.0,UNASSIGNED,0.0,1.0,"C-MASONRY, BLOCK, TILT-WALL",CENTRAL HEAT,CENTRAL A/C,0.0,1465.0,VALERO,GOOD,GOOD,60.0,0.0,0.0,60.0,,,,COST,B CLASS,1.0,2024.0,COM,VALERO,MINNESOTA NICE HOLDINGS INC,,N,STE500,600 HAMILTON ST,,,ALLENTOWN,PENNSYLVANIA,181012105.0,UNITED STATES OF AMERICA,500.0,,S HAMPTON RD,,,DALLAS,752085621,53-H (DALLAS),UNASSIGNED,SUNSET HILL REV,BLK 4/3451 LT 4A,,INT201900238024 DD09052019 CO-DC,3451 004   04A00      2003451 004,09/09/2019,00000272183500000,,2DSL6B,690500,500 S HAMPTON RD DALLAS
75227,DALLAS,3867771.30925812,Supermarket,DALLAS,-10763006.2305759,32.792328,,,,Joe V's Smart Shop 805,TX,279.0,7700 SAMUELL BLVD,1634103.0,    ,-96.68573,7700 SAMUELL BLVD DALLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75228,DALLAS,3873356.62377886,Convenience Store,DALLAS,-10761598.0390174,32.834496,,,,WB Ferguson Shell,TX,280.0,10290 FERGUSON RD,1618256.0,3013,-96.67308,10290 FERGUSON RD DALLAS,00706400000020000,00706400000020000,2024.0,MINI-MART/GAS SERVICE STATION,1955.0,1955.0,1296.0,CONCRETE SLAB,1296.0,NONE,0.0,1.0,"C-MASONRY, BLOCK, TILT-WALL",CENTRAL HEAT,CENTRAL A/C,0.0,1296.0,SHELL FOOD MART,AVERAGE,AVERAGE,60.0,0.0,0.0,60.0,,,,COST,C CLASS,1.0,2024.0,COM,SHELL FOOD MART,FERGUSON RETAIL SEQ LLC,,N,,4809 COLE AVE STE 330,,,DALLAS,TEXAS,752053553.0,UNITED STATES OF AMERICA,10290.0,,FERGUSON RD,,,DALLAS,752283013,38-M (DALLAS),UNASSIGNED,BLK 7064,TR 2 ACS 0.2827,,INT201700338538 DD12012017 CO-DC,7064 000   00200      7DA7064 000,12/04/2017,00706400000020000,,1DSI14,690800,10290 FERGUSON RD DALLAS
75137,DALLAS,3847603.14655666,Convenience Store,DUNCANVILLE,-10785929.6967175,32.639896,,,,7-Eleven 27334,TX,282.0,826 E HIGHWAY 67,928284.0,3406,-96.891655,826 E HIGHWAY 67 DUNCANVILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75203,DALLAS,3860141.47996937,Convenience Store,DALLAS,-10778303.8663202,32.734692,,,,Seaneen Mart,TX,363.0,1041 S BECKLEY AVE,1628829.0,2879,-96.823151,1041 S BECKLEY AVE DALLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75215,DALLAS,3863163.24737286,Convenience Store,DALLAS,-10772254.2085931,32.757523,,,,Emily Grocery,TX,364.0,1818 METROPOLITAN AVE,453956.0,3657,-96.768806,1818 METROPOLITAN AVE DALLAS,00000144125000000,00000144125000000,2024.0,RETAIL STRIP,1974.0,2005.0,3900.0,PIERS,3900.0,NONE,0.0,1.0,"C-MASONRY, BLOCK, TILT-WALL",CENTRAL HEAT,CENTRAL A/C,1.0,3900.0,EMILY GROCERY,AVERAGE,AVERAGE,0.0,0.0,0.0,0.0,,,,INCOME,C CLASS,1.0,2024.0,COM,EMILY GROCERY,MOSER W JAKE JR,,N,% MOSER DEV,PO BOX 1076,,,ROCKWALL,TEXAS,750871076,UNITED STATES OF AMERICA,1818.0,,METROPOLITAN AVE,,,DALLAS,752153657,46-X (DALLAS),UNASSIGNED,WALKERS,BLK A/1211 PT LT 6 & PT LT 7,METROPOLITAN AVE & CENTRAL EXPWY,,1211 00A   00600      1DA1211 00A,04/14/1986,00000144125000000,,2DSL10,360600,1818 METROPOLITAN AVE DALLAS
75215,DALLAS,3863038.95197298,Convenience Store,DALLAS,-10770517.4018977,32.756584,,,,Jjmg Food Mart 24/7,TX,365.0,4600 MALCOLM X BLVD,1631293.0,4733,-96.753204,4600 MALCOLM X BLVD DALLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75220,DALLAS,3879481.02672337,Convenience Store,DALLAS,-10785167.8261225,32.880711,,,,7-Eleven Store 22889,TX,367.0,10998 HARRY HINES BLVD,1422850.0,1316,-96.884811,10998 HARRY HINES BLVD DALLAS,0064680A000010000,0064680A000010000,2024.0,LAND ONLY,0.0,0.0,0.0,UNASSIGNED,0.0,UNASSIGNED,0.0,0.0,UNASSIGNED,UNASSIGNED,UNASSIGNED,0.0,0.0,VACANT,UNASSIGNED,UNASSIGNED,0.0,0.0,0.0,0.0,,,,COST,UNASSIGNED,0.0,2024.0,COM,VACANT,RIVERSIDE CAMARILLO TX &,,N,,10877 WILSHIRE BLVD STE 1105,,,LOS ANGELES,CALIFORNIA,900244368,UNITED STATES OF AMERICA,10998.0,,HARRY HINES BLVD,,,DALLAS,752201316,23-N (DALLAS),UNASSIGNED,PERRY D GRAHAM ADDN,BLK A/6468 PT LT 1,ACS 0.0269 CALC,INT201000000724 DD12302009 CO-DC,6468 A00   00100      0DA6468 A00,01/04/2010,0064680A000010000,,1DSF05,UNASSIGNED,10998 HARRY HINES BLVD DALLAS
